Accession,Species,Host,Host_ID
KR014248,Escherichia virus AYO145A,Escherichia coli O145:NM,"['NZ_CP031921.1', 'NZ_CP031920.1', 'NZ_LC163971.1', 'LC163971.1', 'CP031921.1', 'CP031920.1', 'NZ_CP031921.1', 'NZ_CP031920.1', 'NZ_CP031919.1', 'NZ_LC163971.1', 'LC163971.1', 'CP031921.1', 'CP031920.1', 'CP031919.1', 'CP024659.1', 'CP027104.1', 'CP027103.1', 'CP027105.1', 'CP006027.1', 'CP006262.1', 'CP014670.1', 'CP014583.1', 'CP007136.1', 'CP007133.1']"
KP719132,Escherichia virus JenP1,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
KP719133,Escherichia virus JenP2,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
KP719134,Escherichia virus JenK1,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
KP308307,Escherichia virus 172-1,Escherichia coli 172,"['NZ_HQ023864.1', 'AP022815.1', 'AP022811.1', 'NZ_CP040308.1', 'NZ_CP040307.1', 'NC_007779.1', 'NC_013365.1', 'NC_009837.1', 'NC_008563.1', 'NZ_CP009644.1', 'NZ_CP009789.1', 'NC_017645.1']"
KP064094,Escherichia virus Cajan,Escherichia coli K12 MG1655,"['NC_010473.1', 'NC_002483.1', 'AP001918.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_KX156773.1', 'NZ_KX156772.1', 'KX156773.1', 'KX156772.1', 'KJ170699.1', 'NZ_CP014271.1', 'NZ_CP014273.1', 'CP032679.1', 'NC_007779.1', 'NZ_CP009644.1', 'NZ_CP009789.1', 'NC_010473.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP017100.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NC_002483.1', 'AP001918.1', 'NZ_LM993812.1', 'NZ_LM995446.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1', 'NZ_CP014225.1']"
KP658157,Klebsiella virus 1513,Klebsiella pneumoniae KP 1513,"['CP021955.1', 'CP034200.1', 'CP019079.1', 'CP019077.1', 'CP012744.1', 'CP012743.1', 'CP052537.1', 'CP052167.1', 'CP052399.1', 'CP023907.1', 'CP051160.1', 'CP055553.1', 'CP052453.1', 'CP052354.1', 'CP052395.1', 'CP015504.1']"
KM044272,Escherichia virus SU10,Escherichia coli ECOR10,['NZ_CP010116.1']
KP063541,Enterobacteria phage P88,Escherichia coli K88,"['NC_017643.1', 'NC_017640.1', 'NC_017639.1', 'NC_017642.1', 'CP061330.1', 'NZ_CP038792.1', 'NZ_CP050203.1', 'CP058011.1', 'NZ_MN510446.1', 'CP055982.1', 'CP055959.1', 'CP055958.1']"
KP007359,Escherichia virus VR5,Escherichia coli,['CP057073.1']
KM657822,Escherichia virus VpaE1,Escherichia coli B strains,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NC_007779.1', 'NC_012971.2', 'AP009048.1', 'CP001509.3']"
KM606994,Escherichia virus RB3,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM606995,Escherichia virus RB3,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM606996,Escherichia virus RB3,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM606997,Escherichia virus RB3,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM606998,Escherichia virus RB3,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM606999,Escherichia virus RB3,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM607000,Enterobacteria phage RB27,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM607001,Enterobacteria phage RB33,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM607002,Escherichia virus T4,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM607003,Escherichia virus T4,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM607004,Enterobacteria phage RB68,Escherichia coli B,"['NC_012967.1', 'NZ_CP014268.2', 'NZ_CP014269.1', 'NC_012967.1', 'CP014268.2', 'CP014269.1', 'CP000819.1', 'NZ_CP053599.1', 'NC_007779.1', 'NC_012971.2', 'CP053599.1', 'AP009048.1', 'CP001509.3']"
KM507819,Escherichia virus 121Q,Escherichia coli MuLB70.1,"['CP032679.1', 'CP028850.1', 'CP031707.1', 'CP031706.1', 'CP039404.1']"
KM360178,Escherichia virus ep3,Escherichia coli,"['CP032679.1', 'CP054343.1', 'CP051711.1', 'CP057693.1', 'CP043752.1', 'CP031293.1', 'CP022393.1', 'CP023201.1', 'LR740776.1', 'CP026199.1', 'CU651637.1', 'CP057455.1', 'CP051735.1', 'CP021288.1', 'CP057802.1', 'CP027763.1', 'CP007136.1', 'CP006027.1', 'CP040886.1', 'CP034966.1', 'CP031231.1', 'CP029369.1', 'CP029108.1', 'CP023899.1', 'CP058656.1', 'CP058651.1', 'CP019280.1', 'CP057262.1', 'CP023377.1', 'CP055608.1', 'CP042246.1', 'CP028308.1', 'CP028306.1', 'CP028305.1', 'CP028307.1', 'CP028309.1', 'CP025328.1', 'CP010160.1', 'CP007442.1', 'CP001855.1', 'CP026929.1', 'CP019259.1', 'LR130555.1', 'LR134234.1', 'CP023258.1', 'CP018995.1', 'CP057057.1', 'CP057050.1', 'CP057045.1', 'CP059944.1', 'CP059988.1']"
KM190144,Escherichia virus Av05,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1', 'CP038380.1', 'CP038319.1', 'CP038366.1', 'CP038428.1', 'CP039843.1', 'CP049612.1', 'CP039837.1', 'CP040107.1', 'CP039834.1', 'CP038425.1', 'CP038423.1', 'CP038421.1', 'CP038419.1', 'CP038416.1', 'CP038414.1', 'CP038412.1', 'CP038408.1', 'CP038405.1', 'CP038402.1', 'CP038398.1', 'CP038394.1', 'CP038389.1', 'CP038386.1', 'CP038383.1', 'CP038376.1', 'CP038374.1', 'CP038372.1', 'CP038369.1', 'CP038363.1', 'CP038360.1', 'CP038357.1', 'CP038355.1', 'CP038353.1', 'CP038351.1', 'CP038349.1', 'CP038346.1', 'CP038344.1', 'CP038342.1', 'CP038339.1', 'CP038336.1', 'CP038333.1', 'CP038328.1', 'CP038324.1', 'CP038321.1', 'CP038316.1', 'CP038313.1', 'CP038309.1', 'CP038305.1', 'CP038302.1', 'CP038300.1']"
FO818745,Escherichia virus RCS47,Escherichia coli,['NZ_CP062205.1']
KJ997912,Enterobacteria phage phiX174 sensu lato,Escherichia coli SMQXXXX,['CP032679.1']
KJ909655,Escherichia Stx1-converting recombinant phage HUN/2013,Escherichia coli O157:H7 Sakai,"['NC_013008.1', 'CP018252.1', 'CP017251.1', 'CP017249.1', 'CP034384.1', 'CP040570.1', 'CP028700.1', 'CP028698.1', 'CP028693.1', 'CP028685.1', 'CP028683.1', 'CP028654.1', 'CP028652.1', 'CP028650.1', 'CP028609.1', 'CP031913.1', 'CP041747.1', 'CP028695.1', 'CP028690.1', 'CP028687.1', 'CP028607.1', 'CP016755.1', 'CP017669.1', 'CP017444.1', 'CP017440.1', 'CP015023.1', 'AP010960.1', 'AP019761.1', 'CP020106.1', 'CP031916.1', 'CP001925.1', 'CP008957.1', 'AE005174.1', 'CP021339.1', 'CP040572.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NZ_AP018692.1', 'NC_002695.2', 'BA000007.3', 'AP018692.1', 'CP001855.1', 'NC_002128.1', 'NC_002127.1']"
KF771236,Escherichia virus AHS24,E. coli O157:H7 R508 (phage type 14),['NZ_CP023644.1']
KF771237,Escherichia virus AHP42,E. coli O157:H7 R508 (phage type 14),['NZ_CP023644.1']
KF771238,Escherichia virus AHS24,E. coli O157:H7 R508 (phage type 14),['NZ_CP023644.1']
KF771239,Escherichia virus AKS96,E. coli O157:H7 R508 (phage type 14),['NZ_CP023644.1']
KF562341,Escherichia virus PhAPEC2,Escherichia coli,"['CP058031.1', 'CP055981.1', 'CP055976.1', 'CP055973.1', 'CP055967.1', 'CP055964.1', 'CP055958.1', 'CP055951.1', 'CP055918.1', 'CP058019.1', 'CP057996.1', 'CP057978.1', 'CP057967.1', 'CP057964.1', 'CP057962.1', 'CP057961.1', 'CP057953.1', 'CP057932.1', 'CP057930.1', 'CP057885.1', 'CP057882.1', 'CP057860.1', 'CP057854.1', 'CP057849.1', 'CP057812.1', 'CP057843.1', 'CP057833.1', 'CP057796.1', 'CP057784.1', 'CP057778.1', 'CP057767.1', 'CP057729.1', 'CP057693.1', 'CP057684.1', 'CP057677.1', 'CP057660.1', 'CP057645.1', 'CP057640.1', 'CP057597.1', 'CP057539.1', 'CP057500.1', 'CP050031.1', 'CP050036.1', 'CP050040.1', 'CP050044.1', 'CP058682.1', 'CP058025.1', 'CP057922.1', 'CP057523.1', 'CP057520.1']"
KJ190157,Escherichia virus FFH1,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
KJ190158,Escherichia virus FFH2,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
KJ668714,Escherichia virus E112,Escherichia coli,['NC_013008.1']
KF322032,Escherichia virus fiAA91ss,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
JX421753,Enterobacteria virus T7M,Escherichia coli,['NZ_MK656937.1']
JF501022,Klebsiella virus KP36,Klebsiella pneumoniae KP36,"['NZ_CP017388.1', 'NZ_CP017387.1', 'NZ_CP017386.1', 'NZ_CP017385.1', 'NZ_CP047196.1', 'NZ_CP047195.1', 'NZ_CP047194.1', 'NZ_CP047193.1', 'NZ_CP047192.1', 'CP047196.1', 'CP047195.1', 'CP047194.1', 'CP047193.1', 'CP047192.1', 'CP017388.1', 'CP017387.1', 'CP017386.1', 'CP017385.1']"
KF030445,Escherichia phage 1720a-02,Escherichia coli strain O174:H21 isolate 1720a,"['CP027366.1', 'LK999983.1', 'CP031892.1', 'CP027310.1', 'CP042350.1', 'CP035498.1', 'CP041749.1', 'CP024289.1', 'CP038380.1', 'CP027449.1', 'CP027368.1', 'CP027307.1', 'CP024056.1', 'CP031912.1', 'AP018796.1', 'CP028432.1', 'CP028429.1', 'CP028117.1', 'CP027380.1', 'CP027347.1', 'CP027221.1', 'CP014092.1', 'AP010960.1', 'CP029692.1']"
KC690136,Escherichia virus JES2013,Escherichia coli O157:H7 E318,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1']"
KC801932,Escherichia phage Lw1,Escherichia coli BL21(DE3),"['NZ_CP053600.1', 'NC_012971.2', 'NC_012947.1', 'NZ_CP053602.1', 'CP053602.1', 'CP053600.1', 'NC_012892.2', 'NZ_CP011938.1', 'CP001509.3', 'CP011938.1', 'AM946981.2', 'CP001665.1']"
KC333879,Escherichia virus phiJLA23,Escherichia coli,['NC_013008.1']
KC206276,Escherichia virus EC1UPM,Escherichia coli O78:K80,"['CP023386.1', 'CP028192.1', 'CP042982.1', 'CP031922.1', 'CP037943.1', 'CP037945.1', 'AP018808.1', 'CP028126.1', 'CP028116.1', 'CP027361.1', 'CP027599.1', 'CP027572.1', 'CP027390.1', 'CP027387.1', 'CP027352.1', 'CP012693.1', 'LM997123.1', 'LM996695.1', 'LM995938.1', 'LM995838.1', 'LM995743.1', 'LM995691.1', 'CP057473.1', 'AP010953.1', 'CU928145.1', 'CP027484.1', 'CP013663.1', 'CP056396.1']"
KC237308,Escherichia virus Talmos,Escherichia coli C,"['NZ_CP020543.1', 'CP020543.1', 'NC_010468.1', 'CP000946.1']"
KC295538,Escherichia virus PBECO4,Escherichia coli O157,"['NZ_CP022052.2', 'NZ_CP022051.2', 'NZ_CP044144.1', 'NZ_CP044142.1', 'NZ_CP044139.1', 'NZ_CP044138.1', 'NZ_CP044137.1', 'NZ_CP044146.1', 'NZ_MH287084.1', 'NZ_CP015833.1', 'CP022052.2', 'CP022051.2', 'NZ_CP022052.2', 'NZ_CP022051.2', 'NZ_CP022050.2', 'NZ_CP044150.1', 'NZ_CP044149.1', 'NZ_CP044148.1', 'NZ_CP044144.1', 'NZ_CP044143.1', 'NZ_CP044142.1', 'NZ_CP044141.1', 'NZ_CP044140.1', 'NZ_CP044139.1', 'NZ_CP044138.1', 'NZ_CP044137.1', 'NZ_CP044147.1', 'NZ_CP044146.1', 'NZ_CP044145.1', 'NZ_CP043539.1', 'NZ_MH287084.1', 'NC_013942.1', 'NC_013941.1', 'NC_013008.1', 'NC_013010.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_017907.1', 'NC_017906.1', 'CP022050.1', 'CP015832.1', 'CP044148.1', 'CP044143.1', 'CP044140.1', 'CP044145.1', 'CP043539.1', 'CP015831.1']"
KC311669,Acinetobacter virus AB3,carbapenem-resistant Acinetobacter baumannii,"['NC_019359.1', 'NZ_KR535992.1', 'NZ_KR535993.1', 'NZ_CP061522.1', 'NZ_CP061521.1', 'NZ_CP061526.1', 'NZ_CP061525.1', 'NZ_CP061524.1', 'NZ_CP061523.1', 'NZ_CP061520.1', 'NZ_CP061519.1', 'NZ_CP061516.1', 'NZ_CP061515.1', 'NZ_CP061514.1', 'NZ_CP061518.1', 'NZ_CP061517.1', 'CP061520.1', 'CP061519.1', 'CP061524.1', 'CP061523.1']"
JX866719,Klebsiella virus JD001,Klebsiella pneumoniae JDM777,['NZ_HG918041.1']
JQ086369,Escherichia virus HK106,Escherichia coli,"['CP002291.1', 'CP023349.1', 'CP009578.1', 'CP031293.1', 'CP031134.1', 'CP043754.1', 'CP010196.1', 'CP010186.1', 'CP022393.1', 'CP010229.1', 'CP010121.1', 'CP019558.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP007391.1', 'CP007390.1', 'CP007265.1', 'CP041628.1', 'CP041520.1', 'CP005998.1', 'CP010242.1', 'CP043750.1', 'CP041550.1', 'CP029180.1', 'CP023201.1', 'CP016628.1', 'CP025739.1', 'CP042588.1', 'CP033096.1', 'LR740776.1', 'CP018953.1', 'CP010876.1', 'CP018948.1', 'CP040886.1', 'CP042973.1', 'CP042899.1', 'CP032145.1', 'CP040390.1', 'LR134220.1', 'LS483296.1', 'CP018976.1', 'CP010116.1']"
JQ086370,Enterobacteria phage HK140,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP043736.1', 'CP026199.1', 'CP023142.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041628.1', 'CP025739.1', 'CP033096.1', 'CP018206.1', 'CP016404.1', 'CP042645.1', 'LT883142.1', 'CP026399.1', 'CU651637.1', 'CP024134.1', 'CP024155.1', 'CP049353.1', 'CP044298.1', 'CP041678.1', 'CP030939.1', 'CP025318.1', 'CP034727.1', 'CP034745.1', 'CP029492.1', 'AP019675.1', 'CP041435.1', 'CP043747.1', 'CP020106.1', 'CP020092.1', 'CP041411.1']"
JQ086371,Enterobacteria phage HK225,Escherichia coli,"['CP010170.1', 'CP010169.1', 'CP041448.1', 'CP025739.1', 'CP042645.1', 'LR134240.1', 'LT883142.1', 'LR130532.1', 'CP026399.1', 'CP029242.1', 'LS483297.1', 'CP047127.1', 'CP045741.1', 'CP013952.1', 'CP017100.1', 'CP013253.1', 'CP000948.1', 'CP012378.1', 'AP021894.1', 'CP020048.1', 'CP021535.1', 'CP032237.1', 'CP030919.1', 'CP044314.1', 'CP031898.1', 'LR134311.1', 'CP012376.1', 'CP010145.1', 'CP009104.1', 'CP023165.1', 'CP046259.1', 'CP043744.1', 'CP028381.1', 'LR134225.1', 'CP027449.1', 'CP019953.1', 'CP043478.1', 'CP025950.1', 'CP038453.1', 'CP049979.1', 'CP011134.1', 'CP011018.1', 'CP049081.1']"
JQ086372,Escherichia virus HK446,Escherichia coli,"['CP010170.1', 'CP010169.1', 'CP027457.1', 'CP034738.1', 'AP021890.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041520.1', 'CP016628.1', 'CP042588.1', 'LR740776.1', 'CP018948.1', 'CP040886.1', 'CP045190.1', 'CP010219.1', 'LR134238.1', 'FN554766.1', 'LR134246.1', 'CP019250.1', 'CP019213.1', 'CP007136.1', 'CP006027.1', 'CP047658.1', 'CP023383.1', 'CP041535.1', 'CP019777.1', 'CP012631.1', 'CP006830.1', 'CP007149.1', 'HG428755.1', 'CP002167.1', 'CP001969.1', 'CP000243.1', 'CP031922.1', 'CP037943.1', 'CP037945.1', 'CP028126.1', 'CP028116.1']"
JQ086373,Escherichia virus HK542,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP010170.1', 'CP010169.1', 'CP043736.1', 'CP026199.1', 'CP043754.1', 'CP010196.1', 'CP010186.1', 'CP023142.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP007391.1', 'CP007390.1', 'CP007265.1', 'CP041628.1', 'CP010242.1', 'CP041550.1', 'CP029180.1', 'CP023201.1', 'CP016628.1', 'CP025739.1', 'CP042588.1', 'CP033096.1', 'CP018953.1', 'CP010876.1', 'CP018948.1', 'CP018206.1', 'CP018976.1', 'CP010116.1', 'CP016404.1', 'CP041532.1', 'CP042645.1', 'CP010219.1', 'CU651637.1', 'CP019243.1', 'CP014092.1']"
JQ086374,Escherichia virus HK544,Escherichia coli,"['CP040927.1', 'CP031293.1', 'CP034738.1', 'CP022393.1', 'CP010121.1', 'CP019558.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041520.1', 'CP005998.1', 'CP043750.1', 'CP018948.1', 'CP045190.1', 'CP010219.1', 'CP007136.1', 'CP006027.1', 'CP023383.1', 'CP031922.1', 'CP037943.1', 'CP028126.1', 'AP021894.1', 'CP042982.1', 'CP045827.1', 'CP037941.1', 'AP018808.1', 'CP028112.1', 'CP012693.1', 'CP027472.1', 'CP014495.1', 'CP014522.1']"
JQ086376,Escherichia virus HK630,Escherichia coli,"['LS992166.1', 'CP042901.1', 'CP019558.1', 'CP029239.1', 'CP049086.1', 'CP048439.1', 'CP043213.1', 'CP043211.1', 'CP043203.1', 'CP043209.1', 'CP043191.1', 'CP043183.1', 'CP043197.1', 'CP043189.1', 'CP043187.1', 'CP043199.1', 'CP043185.1', 'CP028702.1', 'CP018801.1', 'CP040643.1', 'CP043201.1', 'CP043205.1', 'CP043193.1', 'CP043195.1', 'CP043207.1', 'CP034595.1', 'CP011495.1', 'LN832404.1', 'CP042867.1', 'CP042865.1', 'CP011938.1', 'CP010585.1', 'CP001509.1', 'CP001665.1', 'CP001396.1', 'CP014272.1', 'CP014269.1', 'LR134240.1']"
